Date,Close,Open,Volume,sma_10,ema,rsi,mom,next_day_close
04-01-2010,7.6432,,,,,,,
05-01-2010,7.6564,,,,,,,
06-01-2010,7.5346,,,,,,,
07-01-2010,7.5207,,,,,,,
08-01-2010,7.5707,,,,,,,
11-01-2010,7.5039,,,,,,,
12-01-2010,7.4186,,,,,,,
13-01-2010,7.5232,,,,,,,
14-01-2010,7.4796,,,,,,,
15-01-2010,7.3546,7.5332,21792710,7.52055,7.52055,24.74871475,-0.125,7.68
19-01-2010,7.68,7.4404,26597167,7.52423,7.549540909,65.43010835,0.3254,7.5616
20-01-2010,7.5616,7.6754,22433416,7.51475,7.551733471,52.51711501,-0.1184,7.4311
21-01-2010,7.4311,7.5743,22339679,7.5044,7.529800113,41.29010525,-0.1305,7.0625
22-01-2010,7.0625,7.385,32353278,7.45858,7.444836456,23.53012902,-0.3686,7.2527
25-01-2010,7.2527,7.2325,39316161,7.42678,7.409902555,40.13796543,0.1902,7.355
26-01-2010,7.355,7.3554,68057437,7.41189,7.399920272,47.765057,0.1023,7.4244
27-01-2010,7.4244,7.3875,63634021,7.41247,7.404371132,52.85842891,0.0694,7.1175
28-01-2010,7.1175,7.3189,43123961,7.3719,7.352212744,34.34587657,-0.3069,6.8594
29-01-2010,6.8594,7.1814,45971390,7.30988,7.262610427,25.10344097,-0.2581,6.9546
01-02-2010,6.9546,6.8704,27576409,7.26988,7.206608531,33.37026801,0.0952,6.995
02-02-2010,6.995,6.9968,25627574,7.20138,7.168134253,37.05569537,0.0404,7.1154
03-02-2010,7.1154,6.9704,22553343,7.15676,7.158546207,47.80958705,0.1204,6.8589
04-02-2010,6.8589,7.0261,27796720,7.09954,7.104065078,32.85956288,-0.2565,6.9807
05-02-2010,6.9807,6.8795,31211996,7.09136,7.081635064,43.37046169,0.1218,6.9329
08-02-2010,6.9329,6.9889,17568306,7.05938,7.054592325,40.27727328,-0.0478,7.0068
09-02-2010,7.0068,7.015,23130192,7.02456,7.045902811,47.51166001,0.0739,6.9684
10-02-2010,6.9684,6.9961,13886651,6.97896,7.031811391,44.04615231,-0.0384,7.0954
11-02-2010,7.0954,6.96,20170465,6.97675,7.043372956,57.00960321,0.127,7.1564
12-02-2010,7.1564,7.0754,23899479,7.00645,7.063923328,62.25932683,0.061,7.2643
16-02-2010,7.2643,7.2121,19861692,7.03742,7.10035545,70.2829759,0.1079,7.2339
17-02-2010,7.2339,7.2925,15976141,7.06131,7.124636277,65.38724567,-0.0304,7.2474
18-02-2010,7.2474,7.2011,15451881,7.07451,7.146956954,66.67578438,0.0135,7.2025
19-02-2010,7.2025,7.2093,15186275,7.10887,7.15705569,57.73950117,-0.0449,7.1577
22-02-2010,7.1577,7.2264,14292683,7.12657,7.157172837,49.47011299,-0.0448,7.0378
23-02-2010,7.0378,7.1429,20973110,7.13706,7.135468685,33.44545818,-0.1199,7.1663
24-02-2010,7.1663,7.0796,16857464,7.15301,7.141074379,53.58656878,0.1285,7.2143
25-02-2010,7.2143,7.0493,24323109,7.1776,7.154388128,59.33297405,0.048,7.3079
26-02-2010,7.3079,7.2279,18495264,7.19885,7.182299377,68.760559,0.0936,7.4639
01-03-2010,7.4639,7.3482,20167640,7.2296,7.233499491,78.93448991,0.156,7.4589
02-03-2010,7.4589,7.4975,20646228,7.24906,7.274481401,77.91782515,-0.005,7.4761
03-03-2010,7.4761,7.4621,13650536,7.27328,7.311139328,79.07663189,0.0172,7.5254
04-03-2010,7.5254,7.4743,13415703,7.30108,7.350095814,82.38799276,0.0493,7.8196
05-03-2010,7.8196,7.6764,33067131,7.36279,7.435460212,91.92309801,0.2942,7.8243
08-03-2010,7.8243,7.8575,15859399,7.42945,7.506158355,92.00948662,0.0047,7.965
09-03-2010,7.965,7.7968,33547308,7.52217,7.589584109,94.29345921,0.1407,8.03
10-03-2010,8.03,7.9939,21794275,7.60854,7.669659725,95.10193979,0.065,8.0536
11-03-2010,8.0536,7.9968,14862442,7.69247,7.739467048,95.39785394,0.0236,8.0929
12-03-2010,8.0929,8.1204,15240222,7.77097,7.803727585,95.9119543,0.0393,7.9943
15-03-2010,7.9943,8.0493,18067401,7.82401,7.838377115,71.02833605,-0.0986,8.0161
16-03-2010,8.0161,8.0064,16323981,7.87973,7.870690367,72.96667552,0.0218,8.0043
